protocol,ablation,target_path,expected_direction,window,metric,n_seeds,mean,ci_low,ci_high
treat,novg,covered,positive,post_31_plus,h_opp,50,0.27500033563253623,0.27500033563253623,0.27500033563253623
treat,novg,covered,positive,post_all,h_opp,50,0.2745337595431446,0.2745337595431446,0.2745337595431446
treat,novg,covered,positive,pre,h_risk,50,0.20767548013711548,0.2074000268020418,0.20801118339911553
treat,novg,covered,positive,shock,h_risk,50,0.22507846904453455,0.22499918330324814,0.2252329596555064
treat,novg,covered,positive,post_1_3,h_risk,50,0.22503580795555578,0.2249996273149346,0.22510631120577643
treat,novg,covered,positive,post_4_10,h_risk,50,0.22549824096030302,0.22500022807303677,0.22624521493718938
treat,novg,covered,positive,post_11_30,h_risk,50,0.22502772366096022,0.22500000439862794,0.22507200498251378
treat,novg,covered,positive,post_31_plus,h_risk,50,0.2251495418150536,0.22500000364202544,0.22534864487078107
treat,novg,covered,positive,post_all,h_risk,50,0.2251447322344305,0.22502908209616435,0.2252856375909747
treat,novg,covered,positive,pre,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,shock,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,post_1_3,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,post_4_10,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,post_11_30,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,post_31_plus,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,post_all,junction_pause_duration,50,2.0,2.0,2.0
treat,novg,covered,positive,pre,p_covered,50,0.9958620689655171,0.9924137931034483,0.9986206896551724
treat,novg,covered,positive,shock,p_covered,50,1.0,1.0,1.0
treat,novg,covered,positive,post_1_3,p_covered,50,1.0,1.0,1.0
treat,novg,covered,positive,post_4_10,p_covered,50,0.9942857142857143,0.9857142857142859,1.0
treat,novg,covered,positive,post_11_30,p_covered,50,1.0,1.0,1.0
treat,novg,covered,positive,post_31_plus,p_covered,50,0.9984999999999999,0.9965,1.0
treat,novg,covered,positive,post_all,p_covered,50,0.9985714285714287,0.9971428571428572,0.9997142857142858
treat,novg,covered,positive,pre,p_open,50,0.004137931034482759,0.001379310344827586,0.007586206896551723
treat,novg,covered,positive,shock,p_open,50,0.0,0.0,0.0
treat,novg,covered,positive,post_1_3,p_open,50,0.0,0.0,0.0
treat,novg,covered,positive,post_4_10,p_open,50,0.005714285714285714,0.0,0.014285714285714284
treat,novg,covered,positive,post_11_30,p_open,50,0.0,0.0,0.0
treat,novg,covered,positive,post_31_plus,p_open,50,0.0015000000000000002,0.0,0.0034999999999999996
treat,novg,covered,positive,post_all,p_open,50,0.0014285714285714286,0.0002857142857142857,0.0025714285714285717
treat,novg,covered,positive,pre,p_target,50,0.9958620689655171,0.9924137931034483,0.9986206896551724
treat,novg,covered,positive,shock,p_target,50,1.0,1.0,1.0
treat,novg,covered,positive,post_1_3,p_target,50,1.0,1.0,1.0
treat,novg,covered,positive,post_4_10,p_target,50,0.9942857142857143,0.9857142857142859,1.0
treat,novg,covered,positive,post_11_30,p_target,50,1.0,1.0,1.0
treat,novg,covered,positive,post_31_plus,p_target,50,0.9984999999999999,0.9965,1.0
treat,novg,covered,positive,post_all,p_target,50,0.9985714285714287,0.9974285714285713,0.9997142857142858
treat,novg,covered,positive,pre,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,shock,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,post_1_3,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,post_4_10,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,post_11_30,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,post_31_plus,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,post_all,p_timeout,50,0.0,0.0,0.0
treat,novg,covered,positive,pre,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,shock,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,post_1_3,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,post_4_10,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,post_11_30,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,post_31_plus,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,post_all,q_neg,50,0.0,0.0,0.0
treat,novg,covered,positive,pre,q_pos,50,0.0,0.0,0.0
treat,novg,covered,positive,shock,q_pos,50,0.0,0.0,0.0
treat,novg,covered,positive,post_1_3,q_pos,50,1.6087396931807698,1.6087396931807698,1.6087396931807698
treat,novg,covered,positive,post_4_10,q_pos,50,0.6177718966462998,0.6177718966462998,0.6177718966462998
treat,novg,covered,positive,post_11_30,q_pos,50,0.06635460834786248,0.06635460834786248,0.06635460834786248
treat,novg,covered,positive,post_31_plus,q_pos,50,0.0005569849610828416,0.0005569849610828416,0.0005569849610828416
treat,novg,covered,positive,post_all,q_pos,50,0.1499999131638139,0.1499999131638139,0.1499999131638139
treat,novp,covered,positive,pre,X_opp,50,0.28660869474882744,0.28651284057670273,0.2867022128354311
treat,novp,covered,positive,shock,X_opp,50,0.28333333333333327,0.28333333333333327,0.28333333333333327
treat,novp,covered,positive,post_1_3,X_opp,50,0.2865274977298318,0.28613208680049923,0.286910869279589
treat,novp,covered,positive,post_4_10,X_opp,50,0.28667353280977126,0.2864252916593458,0.286921889110451
treat,novp,covered,positive,post_11_30,X_opp,50,0.2866182194586914,0.2865028917956319,0.28673452323812365
treat,novp,covered,positive,post_31_plus,X_opp,50,0.2866207487522316,0.2865218761225041,0.28671093867025
treat,novp,covered,positive,post_all,X_opp,50,0.28663705732208,0.2865654010737691,0.28671040196267056
treat,novp,covered,positive,pre,X_risk,50,0.28343414553493407,0.2822081999067834,0.28465262598838875
treat,novp,covered,positive,shock,X_risk,50,0.25,0.25,0.25
treat,novp,covered,positive,post_1_3,X_risk,50,0.2787954586290055,0.27447642458501326,0.28303962354475337
treat,novp,covered,positive,post_4_10,X_risk,50,0.2835000144819378,0.2808061612252782,0.2862175718003354
treat,novp,covered,positive,post_11_30,X_risk,50,0.2830888384102442,0.281720007999703,0.2844809640023692
treat,novp,covered,positive,post_31_plus,X_risk,50,0.28374640934864054,0.28256775328433814,0.2849068298950406
treat,novp,covered,positive,post_all,X_risk,50,0.2833268392431101,0.28247832211393253,0.2841766512672246
treat,novp,covered,positive,pre,commit_latency,50,4.472413793103448,4.419982758620689,4.526206896551725
treat,novp,covered,positive,shock,commit_latency,50,3.0,3.0,3.0
treat,novp,covered,positive,post_1_3,commit_latency,50,4.506666666666666,4.28,4.726666666666667
treat,novp,covered,positive,post_4_10,commit_latency,50,4.537142857142857,4.394285714285714,4.674285714285714
treat,novp,covered,positive,post_11_30,commit_latency,50,4.48,4.415000000000001,4.547000000000001
treat,novp,covered,positive,post_31_plus,commit_latency,50,4.479,4.425,4.5305125
treat,novp,covered,positive,post_all,commit_latency,50,4.486285714285715,4.444285714285715,4.526285714285715
treat,novp,covered,positive,pre,h_opp,50,0.27377181917344123,0.2735888802548887,0.27394643199679036
treat,novp,covered,positive,shock,h_opp,50,0.2861572505663175,0.2858268489336049,0.2864824445749271
treat,novp,covered,positive,post_1_3,h_opp,50,0.2816295551721461,0.28139367955864597,0.2818705585052078
treat,novp,covered,positive,post_4_10,h_opp,50,0.2861084874989547,0.28589747292945206,0.28632675888921205
treat,novp,covered,positive,post_11_30,h_opp,50,0.2866243658794651,0.28650777456732,0.286733947983887
treat,novp,covered,positive,post_31_plus,h_opp,50,0.28661883884065087,0.2865208851162354,0.2867108478361649
treat,novp,covered,positive,post_all,h_opp,50,0.2863647836252632,0.2862894642753505,0.2864382981395528
treat,novp,covered,positive,pre,h_risk,50,0.27115301824797505,0.269931166386256,0.2723306568666627
treat,novp,covered,positive,shock,h_risk,50,0.27952621028859725,0.27573766813264877,0.28352100152342347
treat,novp,covered,positive,post_1_3,h_risk,50,0.27357918874522397,0.2714506578005608,0.27575975997851426
treat,novp,covered,positive,post_4_10,h_risk,50,0.2834791663714299,0.2808626519850294,0.2860614314517293
treat,novp,covered,positive,post_11_30,h_risk,50,0.28262917757513095,0.28123671743817613,0.2839994904946308
treat,novp,covered,positive,post_31_plus,h_risk,50,0.28378033621123333,0.28262063734061993,0.2849842901278637
treat,novp,covered,positive,post_all,h_risk,50,0.282976909394404,0.28217780015295724,0.283805969062797
treat,novp,covered,positive,pre,junction_pause_duration,50,5.472413793103449,5.420000000000001,5.52551724137931
treat,novp,covered,positive,shock,junction_pause_duration,50,4.0,4.0,4.0
treat,novp,covered,positive,post_1_3,junction_pause_duration,50,5.506666666666666,5.286666666666666,5.72
treat,novp,covered,positive,post_4_10,junction_pause_duration,50,5.537142857142856,5.397142857142857,5.677142857142857
treat,novp,covered,positive,post_11_30,junction_pause_duration,50,5.480000000000001,5.416974999999999,5.542999999999998
treat,novp,covered,positive,post_31_plus,junction_pause_duration,50,5.479000000000001,5.425,5.5305125
treat,novp,covered,positive,post_all,junction_pause_duration,50,5.486285714285714,5.443714285714286,5.527142857142857
treat,novp,covered,positive,pre,p_covered,50,0.5593103448275862,0.5365517241379311,0.5834482758620689
treat,novp,covered,positive,shock,p_covered,50,1.0,1.0,1.0
treat,novp,covered,positive,post_1_3,p_covered,50,0.6399999999999999,0.56,0.7133333333333334
treat,novp,covered,positive,post_4_10,p_covered,50,0.562857142857143,0.5114285714285713,0.6171428571428571
treat,novp,covered,positive,post_11_30,p_covered,50,0.5660000000000001,0.539,0.5920000000000001
treat,novp,covered,positive,post_31_plus,p_covered,50,0.5535,0.532,0.575
treat,novp,covered,positive,post_all,p_covered,50,0.5617142857142857,0.5462857142857144,0.5774285714285714
treat,novp,covered,positive,pre,p_open,50,0.4406896551724138,0.41724137931034483,0.46275862068965523
treat,novp,covered,positive,shock,p_open,50,0.0,0.0,0.0
treat,novp,covered,positive,post_1_3,p_open,50,0.36,0.2866666666666666,0.43999999999999995
treat,novp,covered,positive,post_4_10,p_open,50,0.437142857142857,0.3857142857142856,0.48857142857142855
treat,novp,covered,positive,post_11_30,p_open,50,0.434,0.408,0.4600000000000001
treat,novp,covered,positive,post_31_plus,p_open,50,0.44650000000000006,0.4255,0.4675
treat,novp,covered,positive,post_all,p_open,50,0.4382857142857142,0.42314285714285715,0.4537142857142857
treat,novp,covered,positive,pre,p_target,50,0.5593103448275862,0.5365517241379311,0.5827586206896551
treat,novp,covered,positive,shock,p_target,50,1.0,1.0,1.0
treat,novp,covered,positive,post_1_3,p_target,50,0.6399999999999999,0.5599999999999999,0.7199999999999999
treat,novp,covered,positive,post_4_10,p_target,50,0.562857142857143,0.5085714285714286,0.6142857142857143
treat,novp,covered,positive,post_11_30,p_target,50,0.5660000000000001,0.54,0.592
treat,novp,covered,positive,post_31_plus,p_target,50,0.5535,0.5315,0.575
treat,novp,covered,positive,post_all,p_target,50,0.5617142857142857,0.5462857142857144,0.5768571428571428
